iter	Passed	Remaining
0	250	250237
1	312	155963
2	364	121283
3	441	109936
4	469	93435
5	495	82057
6	523	74314
7	573	71101
8	599	66061
9	628	62219
10	660	59355
11	691	56949
12	717	54509
13	749	52789
14	772	50704
15	796	48983
16	826	47797
17	874	47719
18	903	46648
19	931	45645
20	955	44522
21	991	44082
22	1020	43345
23	1048	42646
24	1079	42110
25	1109	41560
26	1137	40998
27	1164	40426
28	1192	39943
29	1218	39413
30	1265	39542
31	1292	39085
32	1324	38812
33	1349	38335
34	1375	37913
35	1401	37526
36	1432	37285
37	1455	36854
38	1479	36456
39	1502	36062
40	1527	35718
41	1548	35324
42	1576	35091
43	1621	35238
44	1666	35375
45	1713	35537
46	1758	35650
47	1798	35666
48	1843	35772
49	1867	35479
50	1921	35760
51	1950	35565
52	1980	35384
53	2032	35605
54	2127	36546
55	2152	36284
56	2177	36030
57	2223	36105
58	2249	35870
59	2282	35754
60	2307	35522
61	2332	35283
62	2370	35261
63	2400	35101
64	2437	35067
65	2492	35271
66	2519	35083
67	2542	34846
68	2579	34807
69	2609	34673
70	2637	34507
71	2664	34338
72	2698	34269
73	2728	34141
74	2778	34263
75	2802	34074
76	2830	33935
77	2873	33960
78	2908	33907
79	2937	33781
80	2966	33657
81	2993	33507
82	3015	33314
83	3042	33174
84	3068	33033
85	3111	33064
86	3138	32933
87	3161	32769
88	3216	32924
89	3255	32914
90	3305	33022
91	3354	33102
92	3404	33207
93	3461	33365
94	3513	33470
95	3570	33621
96	3617	33678
97	3659	33685
98	3687	33556
99	3738	33642
100	3780	33649
101	3820	33631
102	3844	33481
103	3868	33327
104	3911	33342
105	3960	33402
106	3990	33304
107	4017	33177
108	4050	33110
109	4079	33006
110	4105	32882
111	4133	32771
112	4162	32674
113	4201	32653
114	4261	32797
115	4292	32711
116	4339	32750
117	4381	32750
118	4440	32876
119	4497	32980
120	4542	33000
121	4604	33140
122	4645	33122
123	4687	33116
124	4748	33240
125	4797	33280
126	4841	33283
127	4889	33307
128	4932	33306
129	4972	33275
130	5012	33250
131	5061	33280
132	5088	33168
133	5115	33061
134	5143	32956
135	5170	32846
136	5195	32726
137	5220	32611
138	5247	32506
139	5275	32408
140	5303	32307
141	5328	32195
142	5354	32090
143	5396	32077
144	5430	32020
145	5471	32002
146	5500	31918
147	5524	31802
148	5549	31693
149	5578	31612
150	5613	31560
151	5641	31471
152	5670	31394
153	5708	31357
154	5734	31259
155	5759	31160
156	5788	31082
157	5825	31042
158	5852	30957
159	5878	30863
160	5905	30774
161	5929	30672
162	5958	30598
163	6007	30624
164	6033	30532
165	6059	30443
166	6083	30346
167	6119	30305
168	6149	30238
169	6175	30152
170	6206	30086
171	6237	30027
172	6269	29970
173	6298	29899
174	6325	29820
175	6363	29794
176	6391	29718
177	6416	29632
178	6441	29546
179	6466	29457
180	6490	29370
181	6518	29299
182	6544	29216
183	6598	29265
184	6666	29370
185	6699	29318
186	6728	29251
187	6754	29174
188	6802	29187
189	6826	29100
190	6851	29019
191	6877	28944
192	6914	28910
193	6954	28892
194	6979	28812
195	7022	28807
196	7047	28728
197	7100	28760
198	7136	28724
199	7163	28655
200	7188	28573
201	7211	28488
202	7235	28408
203	7258	28320
204	7282	28243
205	7316	28202
206	7347	28148
207	7375	28081
208	7399	28006
209	7451	28033
210	7477	27960
211	7501	27883
212	7524	27801
213	7546	27716
214	7603	27762
215	7633	27706
216	7665	27659
217	7690	27585
218	7714	27510
219	7741	27445
220	7766	27376
221	7795	27319
222	7830	27283
223	7857	27219
224	7882	27150
225	7906	27079
226	7939	27035
227	7967	26977
228	7998	26930
229	8030	26885
230	8058	26827
231	8084	26761
232	8132	26771
233	8158	26706
234	8186	26649
235	8211	26581
236	8240	26529
237	8265	26464
238	8295	26413
239	8318	26342
240	8371	26365
241	8404	26324
242	8451	26329
243	8479	26273
244	8505	26209
245	8567	26260
246	8603	26228
247	8634	26181
248	8683	26190
249	8710	26131
250	8735	26066
251	8760	26002
252	8791	25956
253	8815	25892
254	8839	25826
255	8885	25824
256	8911	25764
257	8934	25695
258	8981	25696
259	9040	25730
260	9079	25707
261	9108	25657
262	9143	25623
263	9167	25558
264	9213	25553
265	9241	25502
266	9293	25513
267	9318	25452
268	9344	25392
269	9377	25353
270	9421	25343
271	9446	25282
272	9501	25301
273	9525	25238
274	9551	25182
275	9582	25135
276	9605	25071
277	9660	25088
278	9690	25043
279	9713	24976
280	9763	24982
281	9799	24950
282	9830	24905
283	9871	24886
284	9903	24845
285	9933	24798
286	9960	24744
287	10016	24764
288	10041	24703
289	10069	24652
290	10097	24602
291	10128	24557
292	10165	24529
293	10190	24470
294	10234	24457
295	10273	24435
296	10304	24390
297	10335	24348
298	10363	24297
299	10391	24247
300	10420	24199
301	10450	24154
302	10475	24098
303	10496	24031
304	10522	23978
305	10548	23924
306	10573	23868
307	10599	23814
308	10625	23761
309	10662	23732
310	10684	23670
311	10736	23675
312	10775	23649
313	10805	23606
314	10827	23546
315	10875	23539
316	10930	23551
317	10991	23572
318	11018	23522
319	11050	23482
320	11083	23444
321	11124	23423
322	11153	23377
323	11178	23323
324	11226	23317
325	11250	23259
326	11284	23225
327	11319	23190
328	11347	23144
329	11376	23097
330	11402	23046
331	11432	23003
332	11463	22961
333	11510	22952
334	11537	22902
335	11571	22867
336	11596	22814
337	11646	22811
338	11673	22761
339	11702	22716
340	11730	22669
341	11759	22624
342	11807	22617
343	11834	22567
344	11860	22518
345	11884	22463
346	11942	22474
347	11984	22453
348	12016	22414
349	12052	22382
350	12080	22337
351	12120	22311
352	12152	22274
353	12176	22219
354	12200	22166
355	12225	22116
356	12253	22070
357	12309	22074
358	12361	22071
359	12386	22020
360	12410	21966
361	12446	21935
362	12468	21880
363	12515	21867
364	12540	21817
365	12567	21769
366	12597	21728
367	12651	21727
368	12701	21719
369	12725	21667
370	12750	21617
371	12774	21565
372	12804	21523
373	12832	21478
374	12889	21481
375	12918	21439
376	12950	21401
377	12989	21373
378	13016	21328
379	13040	21276
380	13090	21268
381	13116	21220
382	13140	21169
383	13165	21119
384	13197	21081
385	13225	21037
386	13276	21029
387	13303	20983
388	13330	20937
389	13362	20900
390	13409	20885
391	13434	20836
392	13457	20786
393	13494	20756
394	13538	20736
395	13562	20686
396	13590	20642
397	13615	20594
398	13642	20549
399	13671	20507
400	13696	20459
401	13749	20453
402	13787	20424
403	13813	20378
404	13835	20326
405	13863	20283
406	13890	20239
407	13920	20198
408	13957	20168
409	13987	20128
410	14026	20100
411	14051	20053
412	14075	20004
413	14098	19955
414	14152	19950
415	14196	19929
416	14220	19882
417	14244	19833
418	14268	19785
419	14288	19731
420	14316	19688
421	14346	19649
422	14393	19633
423	14418	19587
424	14445	19543
425	14486	19518
426	14580	19565
427	14604	19517
428	14628	19470
429	14652	19423
430	14690	19393
431	14718	19351
432	14745	19309
433	14770	19263
434	14796	19217
435	14819	19169
436	14841	19120
437	14867	19075
438	14896	19036
439	14947	19023
440	14973	18979
441	15008	18946
442	15038	18908
443	15063	18863
444	15114	18850
445	15144	18811
446	15166	18763
447	15233	18770
448	15261	18728
449	15284	18680
450	15311	18638
451	15336	18594
452	15360	18547
453	15384	18501
454	15422	18473
455	15466	18451
456	15491	18406
457	15517	18363
458	15578	18361
459	15603	18316
460	15626	18270
461	15651	18226
462	15677	18182
463	15706	18143
464	15732	18100
465	15794	18099
466	15848	18088
467	15877	18049
468	15916	18020
469	15963	18001
470	15989	17958
471	16011	17911
472	16041	17872
473	16070	17833
474	16095	17789
475	16121	17746
476	16158	17716
477	16189	17680
478	16216	17637
479	16243	17596
480	16271	17557
481	16311	17529
482	16350	17501
483	16387	17470
484	16412	17428
485	16439	17386
486	16464	17343
487	16497	17308
488	16527	17270
489	16596	17273
490	16624	17233
491	16646	17187
492	16674	17148
493	16698	17104
494	16724	17062
495	16768	17038
496	16791	16994
497	16818	16953
498	16842	16910
499	16866	16866
500	16887	16820
501	16920	16785
502	16949	16746
503	16975	16705
504	17004	16667
505	17028	16624
506	17050	16580
507	17077	16539
508	17104	16499
509	17129	16458
510	17157	16418
511	17219	16412
512	17287	16411
513	17329	16385
514	17370	16359
515	17402	16323
516	17430	16284
517	17462	16248
518	17486	16206
519	17510	16163
520	17532	16118
521	17570	16089
522	17609	16060
523	17643	16027
524	17672	15989
525	17705	15955
526	17739	15921
527	17765	15881
528	17800	15848
529	17822	15805
530	17845	15762
531	17881	15730
532	17907	15690
533	17931	15647
534	17955	15605
535	18002	15584
536	18058	15570
537	18086	15531
538	18135	15511
539	18158	15468
540	18183	15427
541	18210	15388
542	18236	15347
543	18261	15307
544	18290	15270
545	18323	15236
546	18353	15199
547	18384	15163
548	18416	15128
549	18445	15091
550	18472	15052
551	18524	15034
552	18552	14996
553	18592	14968
554	18616	14926
555	18646	14890
556	18686	14862
557	18718	14826
558	18746	14789
559	18772	14749
560	18798	14710
561	18823	14670
562	18846	14628
563	18893	14605
564	18919	14566
565	18964	14541
566	18992	14504
567	19025	14470
568	19055	14433
569	19081	14394
570	19103	14352
571	19129	14313
572	19154	14273
573	19184	14237
574	19216	14203
575	19245	14167
576	19272	14128
577	19308	14096
578	19335	14059
579	19361	14020
580	19393	13985
581	19451	13970
582	19477	13931
583	19511	13898
584	19552	13870
585	19584	13835
586	19628	13810
587	19663	13777
588	19688	13738
589	19717	13701
590	19744	13664
591	19771	13626
592	19795	13586
593	19817	13545
594	19839	13503
595	19864	13465
596	19916	13444
597	19945	13408
598	19972	13370
599	20019	13346
600	20068	13323
601	20096	13286
602	20124	13249
603	20150	13211
604	20177	13173
605	20220	13146
606	20245	13107
607	20266	13066
608	20294	13029
609	20317	12990
610	20339	12949
611	20375	12917
612	20399	12878
613	20426	12841
614	20456	12805
615	20484	12769
616	20509	12731
617	20548	12701
618	20574	12664
619	20598	12624
620	20637	12595
621	20665	12558
622	20726	12542
623	20759	12508
624	20784	12470
625	20832	12446
626	20856	12407
627	20910	12386
628	20935	12348
629	20958	12308
630	20979	12268
631	21016	12237
632	21044	12201
633	21070	12163
634	21096	12126
635	21126	12091
636	21152	12054
637	21175	12014
638	21200	11977
639	21227	11940
640	21254	11903
641	21278	11865
642	21321	11837
643	21353	11803
644	21395	11775
645	21420	11738
646	21468	11713
647	21498	11678
648	21530	11644
649	21554	11606
650	21603	11581
651	21633	11546
652	21657	11508
653	21684	11472
654	21711	11435
655	21738	11399
656	21764	11362
657	21791	11326
658	21817	11289
659	21855	11259
660	21881	11222
661	21907	11185
662	21971	11167
663	21997	11131
664	22036	11100
665	22066	11066
666	22100	11033
667	22127	10997
668	22154	10961
669	22186	10927
670	22239	10904
671	22271	10870
672	22296	10833
673	22345	10808
674	22376	10774
675	22400	10736
676	22430	10701
677	22456	10665
678	22480	10627
679	22511	10593
680	22538	10557
681	22568	10523
682	22594	10486
683	22641	10460
684	22672	10425
685	22703	10391
686	22736	10358
687	22801	10340
688	22858	10317
689	22884	10281
690	22922	10250
691	22949	10214
692	22987	10183
693	23019	10149
